color,freq,ratio,vid
#73c9c6,2,0.00016276041666666666,5ljYLf5R5Ss
#574354,2,0.00016276041666666666,5ljYLf5R5Ss
#9d9a93,1,8.138020833333333e-05,5ljYLf5R5Ss
#b88791,1,8.138020833333333e-05,5ljYLf5R5Ss
#5da1cd,1,8.138020833333333e-05,5ljYLf5R5Ss
#65768b,1,8.138020833333333e-05,5ljYLf5R5Ss
#cccccc,8977,0.8312037037037037,dSXRhxg5y78
#868686,1820,0.1685185185185185,dSXRhxg5y78
#a6a6a6,3,0.0002777777777777778,dSXRhxg5y78
#000000,7613,0.6195475260416666,5sw2KCllbls
#314141,4221,0.343505859375,5sw2KCllbls
#ffffff,233,0.018961588541666668,5sw2KCllbls
#616163,63,0.005126953125,5sw2KCllbls
#c2c2c2,60,0.0048828125,5sw2KCllbls
#999a9b,32,0.0026041666666666665,5sw2KCllbls
#0e1e1e,21,0.001708984375,5sw2KCllbls
#2c2c2e,12,0.0009765625,5sw2KCllbls
#493b2e,10,0.0008138020833333334,5sw2KCllbls
#c8ab7f,8,0.0006510416666666666,5sw2KCllbls
#a78764,6,0.00048828125,5sw2KCllbls
#7b7c7d,6,0.00048828125,5sw2KCllbls
#7d695c,3,0.000244140625,5sw2KCllbls
#000000,9904,0.8059895833333334,EMomgbATgBE
#261911,1226,0.09977213541666667,EMomgbATgBE
#5d4238,253,0.020589192708333332,EMomgbATgBE
#5f5b58,162,0.01318359375,EMomgbATgBE
#a47f6c,156,0.0126953125,EMomgbATgBE
#decbbc,155,0.012613932291666666,EMomgbATgBE
#2d2d2d,121,0.009847005208333334,EMomgbATgBE
#878078,119,0.009684244791666666,EMomgbATgBE
#ada095,59,0.004801432291666667,EMomgbATgBE
#85563a,54,0.00439453125,EMomgbATgBE
#cba193,36,0.0029296875,EMomgbATgBE
#424c54,15,0.001220703125,EMomgbATgBE
#735559,14,0.0011393229166666667,EMomgbATgBE
#482527,4,0.0003255208333333333,EMomgbATgBE
#c66679,3,0.000244140625,EMomgbATgBE
#b78483,2,0.00016276041666666666,EMomgbATgBE
#fcf5e7,2,0.00016276041666666666,EMomgbATgBE
#862e39,2,0.00016276041666666666,EMomgbATgBE
#a24f5b,1,8.138020833333333e-05,EMomgbATgBE
#000000,6367,0.5181477864583334,LjADq9j2Keo
#25120c,1710,0.13916015625,LjADq9j2Keo
#eb721a,976,0.07942708333333333,LjADq9j2Keo
#8b3412,596,0.048502604166666664,LjADq9j2Keo
#44352e,560,0.045572916666666664,LjADq9j2Keo
#83756c,517,0.042073567708333336,LjADq9j2Keo
#461405,317,0.025797526041666668,LjADq9j2Keo
#bb6503,215,0.017496744791666668,LjADq9j2Keo
#63544d,189,0.015380859375,LjADq9j2Keo
#25251d,177,0.014404296875,LjADq9j2Keo
#febc02,132,0.0107421875,LjADq9j2Keo
#9b572a,95,0.007731119791666667,LjADq9j2Keo
#ff9304,94,0.007649739583333333,LjADq9j2Keo
#ffffff,80,0.006510416666666667,LjADq9j2Keo
#9a918e,54,0.00439453125,LjADq9j2Keo
#72482e,50,0.004069010416666667,LjADq9j2Keo
#a27b56,48,0.00390625,LjADq9j2Keo
#e5b67c,20,0.0016276041666666667,LjADq9j2Keo
#adafac,17,0.0013834635416666667,LjADq9j2Keo
#c6a795,16,0.0013020833333333333,LjADq9j2Keo
#ad8983,16,0.0013020833333333333,LjADq9j2Keo
#c94511,15,0.001220703125,LjADq9j2Keo
#f2dcc0,9,0.000732421875,LjADq9j2Keo
#562900,6,0.00048828125,LjADq9j2Keo
#6e6a72,4,0.0003255208333333333,LjADq9j2Keo
#cb8866,2,0.00016276041666666666,LjADq9j2Keo
#c59341,2,0.00016276041666666666,LjADq9j2Keo
#80570a,1,8.138020833333333e-05,LjADq9j2Keo
#8e6157,1,8.138020833333333e-05,LjADq9j2Keo
#a87408,1,8.138020833333333e-05,LjADq9j2Keo
#38402b,1,8.138020833333333e-05,LjADq9j2Keo
#000000,7613,0.6195475260416666,9_aUc3lAbQ4
#314141,4221,0.343505859375,9_aUc3lAbQ4
#ffffff,233,0.018961588541666668,9_aUc3lAbQ4
#616163,63,0.005126953125,9_aUc3lAbQ4
#c2c2c2,60,0.0048828125,9_aUc3lAbQ4
#999a9b,32,0.0026041666666666665,9_aUc3lAbQ4
#0e1e1e,21,0.001708984375,9_aUc3lAbQ4
#2c2c2e,12,0.0009765625,9_aUc3lAbQ4
#493b2e,10,0.0008138020833333334,9_aUc3lAbQ4
#c8ab7f,8,0.0006510416666666666,9_aUc3lAbQ4
#a78764,6,0.00048828125,9_aUc3lAbQ4
#7b7c7d,6,0.00048828125,9_aUc3lAbQ4
#7d695c,3,0.000244140625,9_aUc3lAbQ4
#000000,7613,0.6195475260416666,l7tfY5j1U5c
#314141,4221,0.343505859375,l7tfY5j1U5c
#ffffff,233,0.018961588541666668,l7tfY5j1U5c
#616163,63,0.005126953125,l7tfY5j1U5c
#c2c2c2,60,0.0048828125,l7tfY5j1U5c
#999a9b,32,0.0026041666666666665,l7tfY5j1U5c
#0e1e1e,21,0.001708984375,l7tfY5j1U5c
#2c2c2e,12,0.0009765625,l7tfY5j1U5c
#493b2e,10,0.0008138020833333334,l7tfY5j1U5c
#c8ab7f,8,0.0006510416666666666,l7tfY5j1U5c
#a78764,6,0.00048828125,l7tfY5j1U5c
#7b7c7d,6,0.00048828125,l7tfY5j1U5c
#7d695c,3,0.000244140625,l7tfY5j1U5c
#000000,7613,0.6195475260416666,jQCtMC96BBg
#314141,4221,0.343505859375,jQCtMC96BBg
#ffffff,233,0.018961588541666668,jQCtMC96BBg
#616163,63,0.005126953125,jQCtMC96BBg
#c2c2c2,60,0.0048828125,jQCtMC96BBg
#999a9b,32,0.0026041666666666665,jQCtMC96BBg
#0e1e1e,21,0.001708984375,jQCtMC96BBg
#2c2c2e,12,0.0009765625,jQCtMC96BBg
#493b2e,10,0.0008138020833333334,jQCtMC96BBg
#c8ab7f,8,0.0006510416666666666,jQCtMC96BBg
#a78764,6,0.00048828125,jQCtMC96BBg
#7b7c7d,6,0.00048828125,jQCtMC96BBg
#7d695c,3,0.000244140625,jQCtMC96BBg
#000000,7613,0.6195475260416666,Jt_NiAxDOOE
#314141,4221,0.343505859375,Jt_NiAxDOOE
#ffffff,233,0.018961588541666668,Jt_NiAxDOOE
#616163,63,0.005126953125,Jt_NiAxDOOE
#c2c2c2,60,0.0048828125,Jt_NiAxDOOE
#999a9b,32,0.0026041666666666665,Jt_NiAxDOOE
#0e1e1e,21,0.001708984375,Jt_NiAxDOOE
#2c2c2e,12,0.0009765625,Jt_NiAxDOOE
#493b2e,10,0.0008138020833333334,Jt_NiAxDOOE
#c8ab7f,8,0.0006510416666666666,Jt_NiAxDOOE
#a78764,6,0.00048828125,Jt_NiAxDOOE
#7b7c7d,6,0.00048828125,Jt_NiAxDOOE
#7d695c,3,0.000244140625,Jt_NiAxDOOE
#000000,7613,0.6195475260416666,Z9ufoFUScew
#314141,4221,0.343505859375,Z9ufoFUScew
#ffffff,233,0.018961588541666668,Z9ufoFUScew
#616163,63,0.005126953125,Z9ufoFUScew
#c2c2c2,60,0.0048828125,Z9ufoFUScew
#999a9b,32,0.0026041666666666665,Z9ufoFUScew
#0e1e1e,21,0.001708984375,Z9ufoFUScew
#2c2c2e,12,0.0009765625,Z9ufoFUScew
#493b2e,10,0.0008138020833333334,Z9ufoFUScew
#c8ab7f,8,0.0006510416666666666,Z9ufoFUScew
#a78764,6,0.00048828125,Z9ufoFUScew
#7b7c7d,6,0.00048828125,Z9ufoFUScew
#7d695c,3,0.000244140625,Z9ufoFUScew
#000000,7613,0.6195475260416666,wyf3s6wOVlo
#314141,4221,0.343505859375,wyf3s6wOVlo
#ffffff,233,0.018961588541666668,wyf3s6wOVlo
#616163,63,0.005126953125,wyf3s6wOVlo
#c2c2c2,60,0.0048828125,wyf3s6wOVlo
#999a9b,32,0.0026041666666666665,wyf3s6wOVlo
#0e1e1e,21,0.001708984375,wyf3s6wOVlo
#2c2c2e,12,0.0009765625,wyf3s6wOVlo
#493b2e,10,0.0008138020833333334,wyf3s6wOVlo
#c8ab7f,8,0.0006510416666666666,wyf3s6wOVlo
#a78764,6,0.00048828125,wyf3s6wOVlo
#7b7c7d,6,0.00048828125,wyf3s6wOVlo
#7d695c,3,0.000244140625,wyf3s6wOVlo
#000000,7613,0.6195475260416666,pxQXY9iaqRU
#314141,4221,0.343505859375,pxQXY9iaqRU
#ffffff,233,0.018961588541666668,pxQXY9iaqRU
#616163,63,0.005126953125,pxQXY9iaqRU
#c2c2c2,60,0.0048828125,pxQXY9iaqRU
